episode_range,db_objective_mean,legacy_objective_mean,delta_objective_mean,db_constraint_mean,legacy_constraint_mean,delta_constraint_mean
1-10,38.519815802946944,45.917508370946,-7.397692567999059,526.2845628912537,359.6176580514869,166.6669048397668
11-20,38.68675604443416,34.75069291206319,3.9360631323709754,530.1746551224209,269.686320255818,260.4883348666029
21-30,38.49703859778886,29.684386855543714,8.812651742245144,529.174638603527,296.72626895323754,232.44836965028946
31-40,38.61205515420671,28.203362861336643,10.408692292870064,529.4541371685087,314.6407989422632,214.81333822624555
41-50,38.5601432834023,27.45081252102674,11.109330762375556,525.1222677744393,325.18379877483346,199.9384689996058
51-60,38.670749078848914,26.897503192601242,11.773245886247672,529.159757228609,336.5569998059098,192.6027574226992
61-70,38.60311338932328,26.608495531305827,11.994617858017456,528.9257620678261,338.366092740678,190.55966932714807
71-80,38.60865064993462,26.21870382368499,12.389946826249627,528.2966263118253,339.3849143570926,188.9117119547327
81-90,38.95248523815239,26.23731301114065,12.715172227011742,531.40522967159,347.0718426276314,184.33338704395857
91-100,38.62669664906142,26.08640960807339,12.540287040988034,529.1592537082275,348.23039538475024,180.9288583234773
