episode,objective_cost_real_power,avg_delay_per_user
1,5.281221050278476,1.4321335928368248
2,5.262533003889,1.5408377422028876
3,4.913598447068637,1.4474844918158511
4,4.553399801847449,1.3715761900567198
5,4.2410472033777555,1.3187150428456091
6,3.9779133928317654,1.2982348958598173
7,3.797617185407554,1.2714277937721894
8,3.6607300588186282,1.2557824918304274
9,3.553432552812422,1.2394823530668773
10,3.461180465476173,1.2213296268300906
11,3.200152554435793,1.186824491022455
12,2.947990012343176,1.1281193572848909
13,2.799998426110798,1.1154306423109714
14,2.7218501968700757,1.1118489634449489
15,2.700788069928193,1.1074014569326662
16,2.7049276422550568,1.1020517203064408
17,2.703815544079301,1.1063582027025933
18,2.701782494563846,1.1042298728227127
19,2.7001695783392363,1.1013661357868976
20,2.6879656689100675,1.1118108629560968
21,2.6779504641682617,1.111620252213658
22,2.6565925834125648,1.1349398084381013
23,2.6435180730039027,1.1442519125299093
24,2.6435317606562525,1.145320922070276
25,2.6293291053823844,1.1536164615732998
26,2.636155709071609,1.14957429116068
27,2.6401095047030316,1.1429370399000636
28,2.641406793645837,1.1430240875278324
29,2.6450134578424827,1.1490704009122994
30,2.6402664258347275,1.1470295993129216
31,2.6512432198075992,1.1432999842193747
32,2.6752681954090867,1.1261984291477152
33,2.679104022093516,1.1194433242550346
34,2.6789475428111027,1.1238070450259947
35,2.6788326696178113,1.1295980569993487
36,2.6676888087005493,1.1307174298307625
37,2.66716518699594,1.1263856791610032
38,2.6680978950327465,1.1239575361904373
39,2.667036329912144,1.1171176322179484
40,2.668356780535009,1.1173923122930278
41,2.66675329758155,1.1161704991674244
42,2.6611186681077146,1.1090602726556882
43,2.6627605788867434,1.1076718994575783
44,2.6514321683971747,1.1148719062397145
45,2.6547141350776458,1.1041014139313756
46,2.6666787523185933,1.0947304334994985
47,2.664694332424279,1.0983573491096843
48,2.6595127893729202,1.1012926487872516
49,2.6570910538664156,1.1024885397336235
50,2.6695883451588585,1.0928594439970758
51,2.6517754256587573,1.1058072303300537
52,2.6378158645369214,1.1134773185455096
53,2.636017124275128,1.1065549243443915
54,2.645867836671429,1.0934998127725661
55,2.6424811483647774,1.0991332918385222
56,2.6182107500381373,1.1152591452043572
57,2.6134032207701923,1.1172527602391578
58,2.6078366821935064,1.1210201245519824
59,2.597275415412213,1.126948228336134
60,2.5887180741777307,1.133067092520511
61,2.6035608689879695,1.1191656054991255
62,2.611972870190548,1.1149878852462107
63,2.614098925239699,1.1120850528906285
64,2.6108958009598937,1.1133367227870374
65,2.610118683470994,1.1089745370168076
66,2.6149070209116863,1.1050884418934566
67,2.603623322287963,1.1066248275107657
68,2.617276746851871,1.08847822558788
69,2.6197068007740323,1.087985032180554
70,2.6131031208405404,1.0896134040815042
71,2.601842691301285,1.0975768841140623
72,2.5930799518140537,1.1010027518342063
73,2.5984930982866796,1.1056565024200284
74,2.5896234945045324,1.1080646712065867
75,2.599825247738837,1.1024207843148683
76,2.5988851310265786,1.1054049884469346
77,2.611406785060705,1.1031482763845315
78,2.5963133057637675,1.112815115081174
79,2.6003729818721806,1.1042598415317326
80,2.5934873453873744,1.1118050354355027
81,2.5985631041139934,1.10791908298731
82,2.5946448162602884,1.1100932554763616
83,2.587937580185536,1.1106271199602449
84,2.59062705731817,1.1157668019307727
85,2.573168924180186,1.1259126942047493
86,2.584757748600425,1.1139737993738708
87,2.5824323261543713,1.115683327873825
88,2.5801540262592555,1.1260651763644778
89,2.572049152205286,1.1331447357678637
90,2.573396374888396,1.1262993001249044
91,2.5790307457722292,1.117597557430145
92,2.5900023451468774,1.114276690642495
93,2.590712492340985,1.118578834233693
94,2.5973582393198265,1.1093661350261004
95,2.6051924583165054,1.1005141286853328
96,2.5887945905347434,1.1091837216917204
97,2.585637761634963,1.104363118184255
98,2.5868302418197557,1.0986453627375858
99,2.589069654170708,1.100659960512864
100,2.5976712781778586,1.0981237182047836
