episode_range,snr_db_objective_mean,legacy_objective_mean,delta_objective_mean,snr_db_delay_mean,legacy_delay_mean,delta_delay_mean
1-10,5.490140300497342,4.051490677272134,1.4386496232252082,1.7186552370408184,1.3813696778847204,0.3372855591560979
11-20,5.417354445626222,1.776237237076769,3.6411172085494528,1.7352048026553386,1.2460824061933857,0.4891223964619529
21-30,5.185852434354663,1.4971520253552857,3.6887004089993773,1.5465376718552044,1.2543765767099724,0.29216109514523203
31-40,5.089954573288248,1.4697795332935297,3.620175039994718,1.4534171600425467,1.2282193398340566,0.2251978202084901
41-50,4.992752590632515,1.4366209544392257,3.556131636193289,1.4247506933909473,1.2084197979067892,0.21633089548415807
51-60,4.952115519239798,1.435048102643256,3.517067416596542,1.3773678574262624,1.1862035371086619,0.19116432031760056
61-70,4.924853153084141,1.4031829415898385,3.5216702114943024,1.3789340189936035,1.1894489210584105,0.18948509793519297
71-80,4.904850932295783,1.3883134715962364,3.516537460699547,1.383739948315841,1.1669408522530913,0.21679909606274972
81-90,4.870673853603021,1.4120744437364814,3.45859940986654,1.3445829501683693,1.1708310828559496,0.17375186731241965
91-100,4.878162008260009,1.4275779209934691,3.45058408726654,1.3145159632981767,1.141791502725105,0.17272446057307156
