episode,objective_cost_sum_power,avg_delay_per_user
1,1.1608911405463753,0.4223259370412111
2,1.1718228415137861,0.4157017951261764
3,1.16878706694692,0.42384226877702685
4,1.1724995549029897,0.4299721304728059
5,1.1868693860746735,0.4491038549128309
6,1.3193773040985686,0.5896901316653915
7,1.3738097206624351,0.6669630882669272
8,1.5549109638164558,0.8672208344645748
9,1.5022362124163646,0.8252019028823635
10,1.2409973072217912,0.49966602180093805
11,1.2288490048142837,0.5026541182133593
12,1.2002793011232475,0.45614792932433995
13,1.555868454140126,0.8755189015783043
14,1.300062912906705,0.5650862621335061
15,1.4221293756144542,0.7293151842577601
16,1.4002200831903837,0.6910523216747942
17,1.3126619079273658,0.5817184486389955
18,1.2187505159219747,0.47983316764665174
19,1.2155679161170383,0.4784476025239144
20,1.5201759446009058,0.83675624998666
21,1.3000040618738524,0.555048102635003
22,1.1895774472239313,0.43647491846235165
23,1.313883021366885,0.5967276904583596
24,1.1782750227622827,0.4454155002117399
25,1.1906362934414048,0.4552358690970488
26,1.3169823421703561,0.6027655003566268
27,1.8538645128890476,1.2265740537886864
28,1.2472616221751334,0.5218247768686686
29,1.1930782855073028,0.44110098416261256
30,1.332602959963115,0.6185824400431162
31,1.413907725423896,0.7195300309225691
32,1.2795186779412813,0.5478292453927796
33,1.2116134760284725,0.4761845324401057
34,1.2208581546260002,0.47524814308899876
35,1.4462605972535036,0.7336948799524436
36,1.259144158448594,0.5190025429391112
37,1.1705404634195171,0.44045679717830155
38,1.2056698353941975,0.45991023566471984
39,1.2968244890727214,0.5697173279184158
40,1.4855719721116918,0.841153836677077
41,1.3033590420548467,0.5884526021667448
42,1.2483283792269644,0.5168025392218459
43,1.413513380114681,0.7102081225726707
44,1.2830183963509396,0.5512104817213992
45,1.3951734531466935,0.6748377285569449
46,1.221497514661217,0.4842664915967619
47,1.3094528382368618,0.5957245688158379
48,1.235986546657395,0.505376986397
49,1.191860190348226,0.4458044808448828
50,1.1801724893066723,0.4397275009283213
51,1.348764151126907,0.6407576725283809
52,1.2445329728920491,0.5058200740397651
53,1.371016783580043,0.6649831530247801
54,1.2635110763227049,0.5323450954859801
55,1.2589354174281082,0.5245199544277775
56,1.2707437554424537,0.5414054408967889
57,1.1982534873835415,0.45810262525570006
58,1.5273951538351875,0.8362072374397487
59,1.2547674127296646,0.5290468355093673
60,1.1846035935447354,0.43713365340434274
61,1.3636049335998754,0.6499613384656416
62,1.5227369365324361,0.8890004487072395
63,1.2878591754065487,0.5591490409832061
64,1.1772396563958785,0.4429355163181099
65,1.4774064695452034,0.8062464560085062
66,1.265616564195328,0.5424752576212494
67,1.1873147615707667,0.4314056170074577
68,1.2433165909018482,0.5150082950965172
69,1.373243336019687,0.6676356925574443
70,1.5627957938535963,0.8759103590688126
71,1.6373283284249953,1.0388540554468404
72,1.2119766387559787,0.491720633497935
73,1.2510855163500718,0.533542196261002
74,1.4765267757810598,0.7665188616571372
75,1.2752299457748137,0.5566664229502707
76,1.4852034496178974,0.8065675268997738
77,1.3390188832871175,0.6333311021952153
78,1.1964189312399074,0.4709022482937258
79,1.4140283121159833,0.7097944554201364
80,1.1960903541378336,0.45367761414269386
81,1.2289970439501816,0.5022558854325827
82,1.5264057939033278,0.8446955484764653
83,1.5477926231586834,0.89237583217441
84,1.18349242669384,0.44567372504052033
85,1.451794815979584,0.7380794790237253
86,1.1854126716901299,0.45709752356916195
87,1.3292945619454488,0.6382909759016553
88,1.2239626754432988,0.48324832804364853
89,1.3142014393633266,0.5993907786935075
90,1.4710984224046828,0.87154685402762
91,1.3879634679078736,0.6771511509107804
92,1.5053516924532409,0.7953883884190477
93,1.2601134163062484,0.5563084811645371
94,1.2794741741885627,0.5537061307363406
95,1.3110310046151616,0.6028802700449176
96,1.370992131816776,0.6484317058833864
97,1.409029547253043,0.6937885656606994
98,1.1871118026213126,0.4569983167446507
99,1.4419489065867068,0.7567189515381018
100,1.6026189902086232,0.9302272455113842
